index,类别：所有类别
2018-01,5
2018-02,4
2018-03,5
2018-04,5
2018-05,6
2018-06,9
2018-07,6
2018-08,5
2018-09,7
2018-10,5
2018-11,4
2018-12,4
2019-01,5
2019-02,7
2019-03,4
2019-04,5
2019-05,5
2019-06,5
2019-07,6
2019-08,8
2019-09,8
2019-10,6
2019-11,6
2019-12,5
2020-01,7
2020-02,7
2020-03,8
2020-04,10
2020-05,7
2020-06,6
2020-07,5
2020-08,4
2020-09,5
2020-10,4
2020-11,5
2020-12,4
2021-01,4
2021-02,6
2021-03,6
2021-04,5
2021-05,5
2021-06,5
2021-07,6
2021-08,5
2021-09,6
2021-10,5
2021-11,5
2021-12,4
2022-01,5
2022-02,8
2022-03,10
2022-04,13
2022-05,7
2022-06,8
2022-07,8
2022-08,5
2022-09,8
2022-10,7
2022-11,7
2022-12,5
2023-01,6
2023-02,6
2023-03,6
